2014-05-23 17:40:20,087 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: net.daum:oauth:1.0.0-BUILD-SNAPSHOT @ /Users/tadoli/project/github/oauth-client-examples/java/oauth2-exam/pom.xml.
2014-05-23 17:54:18,609 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:54:18,610 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 17:54:53,648 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:54:53,649 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-05-23 17:54:53,650 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:54:53,650 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 17:55:45,899 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:55:45,901 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 17:55:45,902 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:55:45,902 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 17:57:32,766 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:57:32,768 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-05-23 17:57:32,769 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:57:32,770 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 17:58:05,667 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:58:05,670 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 17:58:05,671 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:58:05,671 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 17:58:18,027 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:58:18,028 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 17:58:18,029 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:58:18,029 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 17:58:33,536 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:58:33,536 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 17:58:33,537 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:58:33,538 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 17:58:39,956 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:58:39,956 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 17:58:39,959 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 17:58:39,959 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 18:00:52,586 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:00:52,587 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-05-23 18:00:52,589 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:00:52,589 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 18:01:01,352 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:01,352 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-05-23 18:01:01,354 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:01,354 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 18:01:30,008 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:30,009 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-05-23 18:01:30,010 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:30,010 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 18:01:35,654 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:35,655 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-05-23 18:01:35,656 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:35,657 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 18:01:42,584 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:42,585 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-05-23 18:01:42,586 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:42,586 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 18:01:44,068 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:44,069 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-05-23 18:01:44,070 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:44,070 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 18:01:52,747 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:52,748 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-05-23 18:01:52,749 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:52,749 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 18:01:57,176 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:57,177 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-05-23 18:01:57,178 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
2014-05-23 18:01:57,178 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-23 18:05:54,482 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_KR actually) to copy filtered resources, i.e. build is platform dependent!
